citing_work_id,citing_doi,citing_title,publication_year,author_order,author_id,author_name,author_orcid,author_position,institution_id,institution_name,institution_type,ror,raw_affiliation_strings,raw_affiliation_institution_links,reported_country_codes,country_code,country,state_province,region_id,city,latitude,longitude,geo_status,geo_source,region_basis,region_source,region_admin1_code,coordinate_precision,is_direct_self_citation,included_in_public_map
W7154682570,10.1002/rnc.70552,A Model‐Free Non‐Zero‐Sum Game Framework for Safe and Optimal Vehicle Platooning Control,2026,1,A5027294310,J T Liu,,first,I205237279,Nankai University,education,https://ror.org/01y1kjr75,"[""College of Artificial Intelligence Nankai University  Tianjin China""]","[{""raw_affiliation_string"": ""College of Artificial Intelligence Nankai University  Tianjin China"", ""institution_ids"": [""https://openalex.org/I205237279""]}]","[""CN""]",CN,China,Tianjin,CN-tianjin,Tianjin,39.14221954345703,117.17666625976562,institution_geo,https://api.openalex.org/institutions/I205237279,Natural Earth v5.1.2 point-in-polygon using institution city coordinates,https://raw.githubusercontent.com/nvkelso/natural-earth-vector/v5.1.2/geojson/ne_10m_admin_1_states_provinces.geojson,CN-TJ,institution_city_point,False,True
W7154682570,10.1002/rnc.70552,A Model‐Free Non‐Zero‐Sum Game Framework for Safe and Optimal Vehicle Platooning Control,2026,2,A5133916001,Fei Chen,,middle,I205237279,Nankai University,education,https://ror.org/01y1kjr75,"[""College of Artificial Intelligence Nankai University  Tianjin China""]","[{""raw_affiliation_string"": ""College of Artificial Intelligence Nankai University  Tianjin China"", ""institution_ids"": [""https://openalex.org/I205237279""]}]","[""CN""]",CN,China,Tianjin,CN-tianjin,Tianjin,39.14221954345703,117.17666625976562,institution_geo,https://api.openalex.org/institutions/I205237279,Natural Earth v5.1.2 point-in-polygon using institution city coordinates,https://raw.githubusercontent.com/nvkelso/natural-earth-vector/v5.1.2/geojson/ne_10m_admin_1_states_provinces.geojson,CN-TJ,institution_city_point,False,True
W7154682570,10.1002/rnc.70552,A Model‐Free Non‐Zero‐Sum Game Framework for Safe and Optimal Vehicle Platooning Control,2026,3,A5037573848,Jing Yuan,https://orcid.org/0000-0001-5495-684X,last,I205237279,Nankai University,education,https://ror.org/01y1kjr75,"[""College of Artificial Intelligence Nankai University  Tianjin China""]","[{""raw_affiliation_string"": ""College of Artificial Intelligence Nankai University  Tianjin China"", ""institution_ids"": [""https://openalex.org/I205237279""]}]","[""CN""]",CN,China,Tianjin,CN-tianjin,Tianjin,39.14221954345703,117.17666625976562,institution_geo,https://api.openalex.org/institutions/I205237279,Natural Earth v5.1.2 point-in-polygon using institution city coordinates,https://raw.githubusercontent.com/nvkelso/natural-earth-vector/v5.1.2/geojson/ne_10m_admin_1_states_provinces.geojson,CN-TJ,institution_city_point,False,True
W7206203312,10.1016/j.eswa.2026.134256,A hierarchical multi-task learning-based electrical energy consumption prediction method with application to the hot strip rolling mill process,2026,1,A5146613034,Kai Zhang,https://orcid.org/0009-0009-4472-1831,first,I92403157,University of Science and Technology Beijing,education,https://ror.org/02egmk993,"[""Key Laboratory of Knowledge Automation for Industrial Processes of Ministry of Education, School of Automation and Electrical Engineering, University of Science and Technology Beijing, Beijing, 100083, PR China"", ""School of Automation and Electrical Engineering, University of Science and Technology Beijing, Beijing, 100083, PR China""]","[{""raw_affiliation_string"": ""Key Laboratory of Knowledge Automation for Industrial Processes of Ministry of Education, School of Automation and Electrical Engineering, University of Science and Technology Beijing, Beijing, 100083, PR China"", ""institution_ids"": [""https://openalex.org/I92403157""]}, {""raw_affiliation_string"": ""School of Automation and Electrical Engineering, University of Science and Technology Beijing, Beijing, 100083, PR China"", ""institution_ids"": [""https://openalex.org/I92403157""]}]","[""CN""]",CN,China,Beijing,CN-beijing,Beijing,39.9075,116.39723,institution_geo,https://api.openalex.org/institutions/I92403157,OpenAlex institution.geo.region,,,institution_city_point,False,True
W7206203312,10.1016/j.eswa.2026.134256,A hierarchical multi-task learning-based electrical energy consumption prediction method with application to the hot strip rolling mill process,2026,2,A5126515100,Zongxu Cao,,middle,I92403157,University of Science and Technology Beijing,education,https://ror.org/02egmk993,"[""School of Automation and Electrical Engineering, University of Science and Technology Beijing, Beijing, 100083, PR China""]","[{""raw_affiliation_string"": ""School of Automation and Electrical Engineering, University of Science and Technology Beijing, Beijing, 100083, PR China"", ""institution_ids"": [""https://openalex.org/I92403157""]}]","[""CN""]",CN,China,Beijing,CN-beijing,Beijing,39.9075,116.39723,institution_geo,https://api.openalex.org/institutions/I92403157,OpenAlex institution.geo.region,,,institution_city_point,False,True
W7206203312,10.1016/j.eswa.2026.134256,A hierarchical multi-task learning-based electrical energy consumption prediction method with application to the hot strip rolling mill process,2026,3,A5016153320,Kaixiang Peng,https://orcid.org/0000-0001-8314-3047,middle,I92403157,University of Science and Technology Beijing,education,https://ror.org/02egmk993,"[""Key Laboratory of Knowledge Automation for Industrial Processes of Ministry of Education, School of Automation and Electrical Engineering, University of Science and Technology Beijing, Beijing, 100083, PR China"", ""School of Automation and Electrical Engineering, University of Science and Technology Beijing, Beijing, 100083, PR China""]","[{""raw_affiliation_string"": ""Key Laboratory of Knowledge Automation for Industrial Processes of Ministry of Education, School of Automation and Electrical Engineering, University of Science and Technology Beijing, Beijing, 100083, PR China"", ""institution_ids"": [""https://openalex.org/I92403157""]}, {""raw_affiliation_string"": ""School of Automation and Electrical Engineering, University of Science and Technology Beijing, Beijing, 100083, PR China"", ""institution_ids"": [""https://openalex.org/I92403157""]}]","[""CN""]",CN,China,Beijing,CN-beijing,Beijing,39.9075,116.39723,institution_geo,https://api.openalex.org/institutions/I92403157,OpenAlex institution.geo.region,,,institution_city_point,False,True
W7206203312,10.1016/j.eswa.2026.134256,A hierarchical multi-task learning-based electrical energy consumption prediction method with application to the hot strip rolling mill process,2026,4,A5126450819,Yibin Rui,,last,I4210110794,Taiyuan Heavy Industry (China),company,https://ror.org/022vzex26,"[""Beijing Jianlong Heavy Industry Group Co. Ltd, Beijing, 100070, PR China""]","[{""raw_affiliation_string"": ""Beijing Jianlong Heavy Industry Group Co. Ltd, Beijing, 100070, PR China"", ""institution_ids"": [""https://openalex.org/I4210110794""]}]","[""CN""]",CN,China,Shanxi,CN-shanxi,Taiyuan,37.869869232177734,112.50411987304688,institution_geo,https://api.openalex.org/institutions/I4210110794,Natural Earth v5.1.2 point-in-polygon using institution city coordinates,https://raw.githubusercontent.com/nvkelso/natural-earth-vector/v5.1.2/geojson/ne_10m_admin_1_states_provinces.geojson,CN-SX,institution_city_point,False,True
W7127962472,10.1016/j.conengprac.2026.106819,A novel model predictive control law for over-actuated space cable-driven manipulators,2026,1,A5125111050,Wenlong Lin,,first,I157773358,Sun Yat-sen University,education,https://ror.org/0064kty71,"[""School of Intelligent System Engineering, Sun Yat-sen University, Shenzhen, 518055, China""]","[{""raw_affiliation_string"": ""School of Intelligent System Engineering, Sun Yat-sen University, Shenzhen, 518055, China"", ""institution_ids"": [""https://openalex.org/I157773358""]}]","[""CN""]",CN,China,Guangdong,CN-guangdong,Guangzhou,23.11667,113.25,institution_geo,https://api.openalex.org/institutions/I157773358,OpenAlex institution.geo.region,,,institution_city_point,False,True
W7127962472,10.1016/j.conengprac.2026.106819,A novel model predictive control law for over-actuated space cable-driven manipulators,2026,2,A5082668502,Wanquan Liu,https://orcid.org/0000-0003-4910-353X,middle,I157773358,Sun Yat-sen University,education,https://ror.org/0064kty71,"[""School of Intelligent System Engineering, Sun Yat-sen University, Shenzhen, 518055, China""]","[{""raw_affiliation_string"": ""School of Intelligent System Engineering, Sun Yat-sen University, Shenzhen, 518055, China"", ""institution_ids"": [""https://openalex.org/I157773358""]}]","[""CN""]",CN,China,Guangdong,CN-guangdong,Guangzhou,23.11667,113.25,institution_geo,https://api.openalex.org/institutions/I157773358,OpenAlex institution.geo.region,,,institution_city_point,False,True
W7127962472,10.1016/j.conengprac.2026.106819,A novel model predictive control law for over-actuated space cable-driven manipulators,2026,3,A5108959038,Xiangxiang Zou,https://orcid.org/0009-0008-3649-4336,middle,I204983213,Harbin Institute of Technology,education,https://ror.org/01yqg2h08,"[""School of Mechatronics Engineering, Harbin Institute of Technology, Harbin, 150001, China""]","[{""raw_affiliation_string"": ""School of Mechatronics Engineering, Harbin Institute of Technology, Harbin, 150001, China"", ""institution_ids"": [""https://openalex.org/I204983213""]}]","[""CN""]",CN,China,Heilongjiang,CN-heilongjiang,Harbin,45.75,126.6500015258789,institution_geo,https://api.openalex.org/institutions/I204983213,Natural Earth v5.1.2 point-in-polygon using institution city coordinates,https://raw.githubusercontent.com/nvkelso/natural-earth-vector/v5.1.2/geojson/ne_10m_admin_1_states_provinces.geojson,CN-HL,institution_city_point,False,True
